time, theta, alpha, low_beta, high_beta, gamma,
1255.0 ,  10212.7353544 ,  3480.37164095 ,  3252.87590997 ,  2121.59363985 ,  1962.56710172 , 
1256.0 ,  614.824817098 ,  76.2191794535 ,  31.0620248577 ,  10.9009596452 ,  3.91926576161 , 
1257.0 ,  321.008589029 ,  52.0519584368 ,  24.1205472655 ,  7.30241036728 ,  1.92618378432 , 
1358.0 ,  326.37861924 ,  59.9912962001 ,  30.2597065554 ,  11.5528707798 ,  5.71789728874 , 
1359.0 ,  27.5857388519 ,  11.9756202734 ,  10.9717650774 ,  7.31286658936 ,  5.43304350285 , 
1360.0 ,  14469.8387267 ,  3716.0797216 ,  3290.37560202 ,  1765.28195066 ,  1777.92267835 , 
1361.0 ,  419.432148878 ,  54.5286067061 ,  28.7078606876 ,  12.8988414667 ,  6.4550888333 , 
1361.0 ,  220.202321437 ,  43.5457860791 ,  25.5824332536 ,  9.76015897707 ,  4.13934682921 , 
1463.0 ,  275.674008411 ,  51.1576157708 ,  27.1898314434 ,  10.6920092252 ,  5.87425918204 , 
1464.0 ,  16.3717552458 ,  7.84873830633 ,  9.10543565538 ,  6.43665062118 ,  4.84348880562 , 
1465.0 ,  18801.1385442 ,  3932.38928442 ,  3208.02299866 ,  1409.69284685 ,  1527.60917776 , 
1466.0 ,  271.624979343 ,  58.2655756866 ,  23.6717338695 ,  12.2710950232 ,  6.62960076169 , 
1467.0 ,  242.342520684 ,  42.0287167172 ,  22.0936212965 ,  9.05513376706 ,  4.20859267094 , 
1568.0 ,  275.674008411 ,  51.1576157708 ,  27.1898314434 ,  10.6920092252 ,  5.87425918204 , 
1569.0 ,  16.3717552458 ,  7.84873830633 ,  9.10543565538 ,  6.43665062118 ,  4.84348880562 , 
1570.0 ,  18801.1385442 ,  3932.38928442 ,  3208.02299866 ,  1409.69284685 ,  1527.60917776 , 
1571.0 ,  271.624979343 ,  58.2655756866 ,  23.6717338695 ,  12.2710950232 ,  6.62960076169 , 
1572.0 ,  242.342520684 ,  42.0287167172 ,  22.0936212965 ,  9.05513376706 ,  4.20859267094 , 
1673.0 ,  191.711878989 ,  36.6220885113 ,  17.8218189057 ,  7.89557190833 ,  4.96096822369 , 
1674.0 ,  12.7911067088 ,  5.51061405708 ,  7.28378876917 ,  5.58807177415 ,  4.43715304325 , 
1675.0 ,  20954.6939662 ,  3738.94638158 ,  2984.10586665 ,  1097.05547912 ,  1246.29785458 , 
1676.0 ,  271.280568066 ,  52.8891417184 ,  23.514686791 ,  12.875733237 ,  6.98368053441 , 
1676.0 ,  120.082736633 ,  23.5088503649 ,  10.7594320456 ,  3.64575030957 ,  2.35940419595 , 
1777.0 ,  114.485371461 ,  21.8718090346 ,  7.46103334095 ,  2.87856415201 ,  2.93824931815 , 
1778.0 ,  9.10589938531 ,  3.60209301692 ,  5.51037442528 ,  4.61018159226 ,  3.98494376717 , 
1779.0 ,  20695.6952648 ,  3230.06886696 ,  2554.7179055 ,  834.268858609 ,  954.523656869 , 
1780.0 ,  145.945575828 ,  27.386568473 ,  10.320044828 ,  5.52757636477 ,  3.95392313352 , 
1781.0 ,  81.7469813459 ,  17.7854644885 ,  6.35041148004 ,  1.8911252632 ,  1.73918123389 , 
1983.0 ,  48.2793236821 ,  10.8077627553 ,  4.01107509275 ,  1.71872863392 ,  2.24623196224 , 
1983.0 ,  4.42124940007 ,  2.08645800298 ,  2.77119117132 ,  2.89311006418 ,  2.93664749631 , 
1984.0 ,  13884.4527188 ,  1651.47399739 ,  1333.63974216 ,  435.116843796 ,  434.347561687 , 
1986.0 ,  59.4850697875 ,  13.2302255508 ,  6.44530600026 ,  3.47146514934 ,  2.78159988262 , 
1986.0 ,  38.8382339169 ,  10.9564508613 ,  3.33241989047 ,  1.49401206579 ,  1.58924637135 , 
2089.0 ,  36.1018555586 ,  8.71307370091 ,  3.57182173861 ,  1.60214805977 ,  1.97415820277 , 
2090.0 ,  3.42226112948 ,  2.22492428213 ,  2.04258871154 ,  2.30996655296 ,  2.45013944471 , 
2091.0 ,  9694.97600178 ,  1073.80162981 ,  829.024858692 ,  302.403101191 ,  249.701939989 , 
2092.0 ,  45.8601398155 ,  10.9261815368 ,  6.30545312947 ,  3.20008725822 ,  2.45248218935 , 
2092.0 ,  27.8262839002 ,  8.3316656635 ,  3.13689865497 ,  1.49287837147 ,  1.5113896234 , 
2294.0 ,  34.3304223922 ,  9.28340899092 ,  3.46078989501 ,  1.59955190311 ,  1.77273854252 , 
2295.0 ,  3.18149440745 ,  2.98064985868 ,  1.90923854397 ,  1.9932061614 ,  2.15211681653 , 
2296.0 ,  5967.24604945 ,  799.89249959 ,  541.646209274 ,  263.992931352 ,  160.019856147 , 
2296.0 ,  42.2567090068 ,  10.2847089322 ,  6.42195337399 ,  3.09054431272 ,  2.17564276974 , 
2297.0 ,  27.8550011205 ,  8.07772433165 ,  3.2262857841 ,  1.64296913724 ,  1.48973118208 , 
2398.0 ,  39.6107369315 ,  12.9715688201 ,  4.07491566202 ,  1.67188539447 ,  1.68307570314 , 
2399.0 ,  3.95530557768 ,  4.56660841684 ,  2.61059782337 ,  1.9397447319 ,  2.06762624831 , 
2400.0 ,  3733.71994271 ,  826.416124818 ,  492.959748492 ,  309.928424336 ,  150.278524801 , 
2401.0 ,  53.4503387132 ,  13.6031227171 ,  7.44090442254 ,  3.17176891198 ,  2.07662029196 , 
