time, theta, alpha, low_beta, high_beta, gamma,
2107.0 ,  101.578835548 ,  39.1068471702 ,  28.8077923748 ,  48.6397855647 ,  16.921227372 , 
2107.0 ,  323.081556999 ,  45.7103326618 ,  33.8631690327 ,  21.5188389327 ,  8.24462827205 , 
2107.0 ,  99.9893341295 ,  35.3055114738 ,  22.7486651258 ,  22.9614965345 ,  8.91358591897 , 
2107.0 ,  96.2253296408 ,  42.3377963605 ,  19.0236545186 ,  23.6323127553 ,  14.6368130409 , 
2107.0 ,  99.9503829605 ,  51.3766785435 ,  21.0434235557 ,  28.2744501524 ,  11.5648698904 , 
2207.0 ,  10.3817459176 ,  5.39389995062 ,  9.03197568108 ,  38.1661917897 ,  13.0259973454 , 
2207.0 ,  221.756629695 ,  7.6323541108 ,  14.2032434237 ,  11.7394389299 ,  4.47402325637 , 
2207.0 ,  7.00284237737 ,  3.9427635242 ,  6.39506867781 ,  14.7994237073 ,  5.33932778992 , 
2207.0 ,  2.72078211759 ,  8.62947285987 ,  1.44727253091 ,  14.8699210163 ,  10.1455571853 , 
2207.0 ,  6.59391226123 ,  15.4341010622 ,  3.59329622316 ,  19.8991082548 ,  8.44185061553 , 
2307.0 ,  8.7727939444 ,  4.93462646959 ,  6.98374938024 ,  41.9363391389 ,  13.7624970911 , 
2307.0 ,  224.564555234 ,  8.07647479624 ,  13.3830536716 ,  11.6131806343 ,  5.48139863641 , 
2307.0 ,  6.11547011363 ,  4.57289876313 ,  5.97344342889 ,  15.9117925728 ,  5.22131933703 , 
2307.0 ,  2.1127888019 ,  8.95177281818 ,  1.7059713503 ,  14.9938516466 ,  9.70807727107 , 
2307.0 ,  5.46213199971 ,  15.3877913112 ,  3.2524278683 ,  20.5339340543 ,  9.35252796308 , 
2508.0 ,  8.71031605782 ,  5.14493611627 ,  6.53513780421 ,  49.4756723654 ,  15.5134578427 , 
2508.0 ,  223.799549011 ,  8.17430143564 ,  13.0901724953 ,  11.1390606516 ,  6.75706479384 , 
2508.0 ,  5.42808496146 ,  5.12280755562 ,  5.70888096674 ,  17.5291167319 ,  5.2206762553 , 
2508.0 ,  1.73812408322 ,  8.8824221258 ,  2.00656961657 ,  15.3079640764 ,  9.70262260019 , 
2508.0 ,  4.59103619263 ,  15.0359117228 ,  3.38793280243 ,  21.701451836 ,  10.6175954219 , 
2608.0 ,  9.12789489639 ,  5.42457337525 ,  7.2013253925 ,  57.3649692276 ,  17.3918481338 , 
2608.0 ,  219.366440587 ,  8.10013243132 ,  13.5234121363 ,  10.2409115817 ,  8.09182272959 , 
2608.0 ,  4.75545465158 ,  5.375959121 ,  5.99258641753 ,  18.8478112795 ,  5.19843708624 , 
2608.0 ,  1.62122518375 ,  8.36677203362 ,  2.27669397879 ,  15.395564222 ,  9.89612842212 , 
2608.0 ,  4.05824557869 ,  14.7320280603 ,  3.96849441833 ,  22.6608063031 ,  11.695948739 , 
2709.0 ,  9.34658481394 ,  5.21689903864 ,  8.83406813232 ,  61.7311061203 ,  18.3741676251 , 
2709.0 ,  212.625761317 ,  7.95251121988 ,  14.8852379257 ,  9.04347024581 ,  9.13995867229 , 
2709.0 ,  4.24423812095 ,  5.40323833699 ,  7.08841598428 ,  19.3052078136 ,  5.05310211654 , 
2709.0 ,  1.80914961878 ,  7.59165451819 ,  2.49746132537 ,  14.9155129688 ,  9.95988620036 , 
2709.0 ,  3.85971866352 ,  14.8591906722 ,  4.75174132958 ,  22.8507068999 ,  12.0549842917 , 
2809.0 ,  9.08634378205 ,  4.64624928883 ,  10.9689155793 ,  61.054041955 ,  18.043758486 , 
2809.0 ,  207.176937538 ,  7.71107981683 ,  16.538762122 ,  7.75930231517 ,  9.68389234149 , 
2809.0 ,  4.09066134615 ,  5.41511985769 ,  9.12433379947 ,  18.8468400558 ,  4.82863247767 , 
2809.0 ,  2.10731384353 ,  6.89872062249 ,  2.63650954302 ,  13.8366252392 ,  9.70378295946 , 
2809.0 ,  3.80931808853 ,  15.7388501999 ,  5.33070395682 ,  22.300540349 ,  11.4681789166 , 
3010.0 ,  8.90461954435 ,  4.01916669304 ,  12.9154613367 ,  56.7821863791 ,  17.0479993749 , 
3010.0 ,  205.750595334 ,  7.19389574709 ,  18.4667490158 ,  6.55437932894 ,  9.60069275512 , 
3010.0 ,  4.41945398683 ,  5.59952165241 ,  11.6888147413 ,  18.030786473 ,  4.66999717997 , 
3010.0 ,  2.23418400734 ,  6.62105863854 ,  2.6737159555 ,  12.817682846 ,  9.20860098789 , 
3010.0 ,  3.78603744625 ,  17.3120105914 ,  5.2469553446 ,  21.8187104552 ,  10.2151868337 , 
3110.0 ,  9.06851552205 ,  3.33574255648 ,  14.1996045719 ,  51.4549958786 ,  16.3655267286 , 
3110.0 ,  210.728483611 ,  6.50632078969 ,  19.9028389134 ,  5.66575185225 ,  9.01113774347 , 
