time, theta, alpha, low_beta, high_beta, gamma,
1157.0 ,  1880.59364514 ,  1244.62360306 ,  1130.09557366 ,  435.628565072 ,  344.158342008 , 
1158.0 ,  7583.06044981 ,  2103.63073623 ,  2004.55908027 ,  533.883728466 ,  759.747231025 , 
1258.0 ,  1281.01495506 ,  468.184452799 ,  541.086823308 ,  491.715442184 ,  456.758393627 , 
1259.0 ,  1339.75107424 ,  559.799213822 ,  580.055924051 ,  428.248343712 ,  342.879165505 , 
1260.0 ,  117.603450049 ,  74.755527174 ,  98.6821889327 ,  65.3482935234 ,  57.5863561767 , 
1261.0 ,  1612.84409731 ,  1182.58614211 ,  1045.08708035 ,  428.780613836 ,  319.354864181 , 
1262.0 ,  6765.93476913 ,  2088.48122485 ,  1859.6914778 ,  499.795749467 ,  735.214264159 , 
1363.0 ,  1011.36478405 ,  478.266288854 ,  443.454260643 ,  417.541426545 ,  381.616723277 , 
1364.0 ,  1041.35683414 ,  541.735997795 ,  476.032372427 ,  372.878389254 ,  284.811897473 , 
1365.0 ,  107.526370379 ,  61.9053663325 ,  87.3955105375 ,  52.4124750427 ,  48.1924545064 , 
1366.0 ,  1277.82757882 ,  1011.0259141 ,  866.373820872 ,  392.683445612 ,  272.178894251 , 
1367.0 ,  5379.6096028 ,  1883.35690014 ,  1523.67577812 ,  430.524404542 ,  639.190425235 , 
1468.0 ,  751.926296725 ,  470.119435571 ,  344.582422042 ,  325.288400002 ,  285.468548327 , 
1468.0 ,  734.188960251 ,  495.017193632 ,  362.437793059 ,  299.431568809 ,  213.750486843 , 
1469.0 ,  92.597785605 ,  49.9554255524 ,  70.503432577 ,  37.3855389436 ,  36.5683698962 , 
1471.0 ,  932.820935139 ,  783.858342195 ,  652.760837533 ,  336.495926166 ,  216.586481719 , 
1472.0 ,  3748.59854244 ,  1561.85846343 ,  1106.87615827 ,  346.991274214 ,  504.016691057 , 
1573.0 ,  751.926296725 ,  470.119435571 ,  344.582422042 ,  325.288400002 ,  285.468548327 , 
1574.0 ,  734.188960251 ,  495.017193632 ,  362.437793059 ,  299.431568809 ,  213.750486843 , 
1574.0 ,  92.597785605 ,  49.9554255524 ,  70.503432577 ,  37.3855389436 ,  36.5683698962 , 
